_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,distance_km
5615006,2017-06-21T17:23:08.033Z,CA,ON,Oakville,43.4309,-79.7767,POI3,544.6513133001247
5614912,2017-06-21T11:23:07.953Z,CA,ON,Oakville,43.4934,-79.7126,POI3,536.874099019427
5614909,2017-06-21T00:23:07.903Z,CA,ON,Whitby,43.8873,-78.9422,POI3,461.99512937156834
5614801,2017-06-21T12:23:07.880Z,CA,ON,Saint Catharines,43.1644,-79.2456,POI3,522.0193020213833
5614689,2017-06-21T13:23:01.370Z,CA,ON,London,42.9611,-81.2431,POI3,674.2112278398075
5614602,2017-06-21T09:23:01.630Z,CA,ON,London,42.9611,-81.2431,POI3,674.2112278398075
5614566,2017-06-21T08:22:56.953Z,CA,BC,Vancouver,49.2646,-123.1,POI1,818.2764911791336
5614548,2017-06-21T00:22:57.103Z,CA,AB,Red Deer,52.2651,-113.794,POI1,143.94016689598396
5614515,2017-06-21T03:22:54.680Z,CA,AB,Red Deer,52.2694,-113.769,POI1,143.2349444943628
5614446,2017-06-21T07:22:53.747Z,CA,AB,Calgary,51.04505,-114.09047,POI1,281.1328602084391
5614377,2017-06-21T22:22:53.500Z,CA,ON,Barrie,44.3303,-79.7268,POI3,502.6455016323314
5614303,2017-06-21T22:22:55.020Z,CA,ON,Toronto,43.7068,-79.3991,POI3,503.7275302843556
5614181,2017-06-21T07:22:53.863Z,CA,AB,Red Deer,52.2651,-113.794,POI1,143.94016689598396
5614136,2017-06-21T17:22:53.340Z,CA,ON,Aurora,44.0065,-79.4504,POI3,494.0298012485911
5614047,2017-06-21T01:22:53.280Z,CA,ON,Mississauga,43.5634,-79.6509,POI3,528.9337177796294
5613968,2017-06-21T17:22:53.147Z,CA,ON,Scarborough,43.7667,-79.2386,POI3,489.22103042817656
5613874,2017-06-21T13:22:53.103Z,CA,ON,Ottawa,45.4555,-75.6552,POI3,163.01963168434378
5613826,2017-06-21T04:22:53.000Z,CA,ON,Mississauga,43.5738,-79.7193,POI3,533.3646086669135
5613790,2017-06-21T06:22:54.370Z,CA,ON,Burlington,43.377,-79.8091,POI3,549.7502753292887
5613763,2017-06-21T08:22:53.193Z,CA,ON,Burlington,43.3756,-79.8145,POI3,550.2088805517805
5613677,2017-06-21T19:22:53.130Z,CA,ON,Toronto,43.6466,-79.4493,POI3,510.28290946688105
5613662,2017-06-21T22:22:53.100Z,CA,ON,Toronto,43.6466,-79.4493,POI3,510.28290946688105
5613651,2017-06-21T12:22:53.030Z,CA,ON,Belleville,44.1713,-77.3688,POI3,335.2491058175805
5613624,2017-06-21T10:22:52.793Z,CA,ON,Scarborough,43.8315,-79.2599,POI3,487.7176032837702
5613616,2017-06-21T03:22:56.990Z,CA,ON,Toronto,43.6735,-79.403,POI3,505.6226237891173
5613594,2017-06-21T00:22:56.987Z,CA,AB,Edmonton,53.5515,-113.492,POI1,0.7231998197875126
5613570,2017-06-21T12:22:55.203Z,CA,ON,Toronto,43.7068,-79.3991,POI3,503.7275302843556
5613495,2017-06-21T21:22:53.680Z,CA,AB,Edmonton,53.6288,-113.476,POI1,9.210805772401132
5613452,2017-06-21T21:22:53.200Z,CA,ON,Burlington,43.3756,-79.8145,POI3,550.2088805517805
5613436,2017-06-21T04:22:53.060Z,CA,ON,Toronto,43.6781,-79.2954,POI3,497.62987664896207
5613403,2017-06-21T00:22:52.957Z,CA,ON,Etobicoke,43.6381,-79.5787,POI3,520.0564769956211
5613400,2017-06-21T08:22:52.847Z,CA,ON,Etobicoke,43.6928,-79.531,POI3,513.9679547546912
5613343,2017-06-21T22:22:52.757Z,CA,ON,Ottawa,45.4455,-75.6894,POI3,165.7504721585832
5613304,2017-06-21T08:22:52.710Z,CA,ON,Ottawa,45.4215,-75.6581,POI3,163.50843205385257
5613273,2017-06-21T11:22:54.840Z,CA,ON,Toronto,43.7068,-79.3991,POI3,503.7275302843556
5613184,2017-06-21T10:22:54.520Z,CA,ON,Scarborough,43.80464,-79.32983,POI3,494.0628551126447
5613100,2017-06-21T22:22:54.400Z,CA,ON,Burlington,43.377,-79.8091,POI3,549.7502753292887
5613055,2017-06-21T07:22:53.867Z,CA,AB,Red Deer,52.2651,-113.794,POI1,143.94016689598396
5613009,2017-06-21T14:22:53.353Z,CA,AB,Calgary,50.9722,-114.062,POI1,288.8842493832062
5612935,2017-06-21T01:22:53.140Z,CA,ON,Ottawa,45.3519,-75.7911,POI3,174.62868817479966
5612839,2017-06-21T01:22:52.897Z,CA,ON,Toronto,35.80762,51.50209,POI4,8878.283153451803
5612776,2017-06-21T04:22:52.787Z,CA,ON,Toronto,43.6796,-79.4343,POI3,507.5901725237495
5612641,2017-06-21T16:22:53.317Z,CA,ON,Mississauga,43.5355,-79.6915,POI3,533.2462200931351
5612567,2017-06-21T13:22:53.267Z,CA,ON,Mississauga,43.57,-79.5808,POI3,523.5515085552103
5612534,2017-06-21T15:22:53.233Z,CA,ON,Toronto,43.6459,-79.3857,POI3,505.72820877030165
5612482,2017-06-21T18:22:53.190Z,CA,ON,Mississauga,43.5869,-79.7559,POI3,535.3775862489452
5612463,2017-06-21T05:22:53.077Z,CA,ON,Scarborough,43.8315,-79.2599,POI3,487.7176032837702
5612443,2017-06-21T13:22:53.050Z,CA,ON,Toronto,35.80762,51.50209,POI4,8878.283153451803
5612392,2017-06-21T01:22:53.047Z,CA,ON,Niagara Falls,43.0966,-79.1276,POI3,518.0308220232768
5612360,2017-06-21T12:22:52.983Z,CA,ON,Pickering,43.809,-79.131,POI3,479.40105652605666
5612336,2017-06-21T14:22:50.413Z,CA,NS,Antigonish,45.69906,-62.04134,POI4,106.83543648126255
5612307,2017-06-21T15:22:52.960Z,CA,ON,Barrie,44.4015,-79.6782,POI3,496.6301951478602
5612218,2017-06-21T04:22:52.917Z,CA,ON,Cambridge,43.404,-80.371,POI3,588.8953740292999
5612067,2017-06-21T08:22:52.710Z,CA,ON,Etobicoke,43.6928,-79.531,POI3,513.9679547546912
5611982,2017-06-21T16:22:45.997Z,CA,ON,Etobicoke,43.6879,-79.557,POI3,516.0903406186962
5611918,2017-06-21T19:22:45.543Z,CA,ON,York,43.703,-79.512,POI3,512.1019825243789
5611903,2017-06-21T04:22:44.020Z,CA,ON,Mississauga,43.58268,-79.6674,POI3,529.176161509819
5611889,2017-06-21T05:22:45.530Z,CA,ON,York,43.675,-79.4811,POI3,511.2016712017828
5611825,2017-06-21T01:22:40.140Z,CA,BC,North Vancouver,49.3667,-123.09643,POI1,810.9439699121496
5611789,2017-06-21T05:22:39.383Z,CA,AB,Beaumont,53.35135,-113.40757,POI1,22.272469618410394
5611757,2017-06-21T17:22:39.367Z,CA,AB,Red Deer,52.2529,-113.7637,POI1,145.00800386803823
5611707,2017-06-21T08:22:42.530Z,CA,QC,Lachine,45.4392,-73.6766,POI3,12.582993970154067
5611670,2017-06-21T16:22:42.523Z,CA,QC,Lachine,45.4392,-73.6766,POI3,12.582993970154067
5611578,2017-06-21T16:22:41.993Z,CA,AB,Edmonton,53.4829,-113.499,POI1,7.089439343201408
5611561,2017-06-21T16:22:41.983Z,CA,AB,Edmonton,53.5636,-113.551,POI1,4.726939537093303
5611549,2017-06-21T03:22:41.940Z,CA,AB,Calgary,51.04529,-114.15784,POI1,281.8124724438124
5611544,2017-06-21T02:22:40.860Z,CA,AB,Red Deer,52.1193,-113.867,POI1,160.71373858102396
5611504,2017-06-21T01:22:38.513Z,CA,AB,Chestermere,51.02703,-113.81693,POI1,281.01879025741664
